journal_title,normalized_title,issn,eissn,publisher,abdc_rating,abdc_for,ajg2024,ajg_field,in_ft50,in_utd24,in_hci_sjr_q1,is_preprint_platform,source_lists,obhrm_candidate,inclusion_reason,review_status
Psychological Bulletin,psychological bulletin,0033-2909,1939-1455,American Psychological Association,A*,3507,4,PSYCH (GENERAL),False,False,False,False,AJG2024_4;ABDC_A*,True,ABDC FoR 3507,needs_review
Psychological Review,psychological review,0033-295X,1939-1471,American Psychological Association,A*,3507,4,PSYCH (GENERAL),False,False,False,False,AJG2024_4;ABDC_A*,True,ABDC FoR 3507,needs_review
Psychological Science,psychological science,0956-7976,1467-9280,Sage Publications,A*,3507,4*,PSYCH (GENERAL),True,False,False,False,FT50;AJG2024_4*;ABDC_A*,True,ABDC FoR 3507,needs_review
Public Management Review,public management review,1471-9037,1471-9045,Taylor & Francis Online,A,3507,4,PUB SEC,False,False,False,False,AJG2024_4;ABDC_A,True,ABDC FoR 3507,needs_review
Research Policy,research policy,0048-7333,1873-7625,Elsevier,A*,3507,4*,INNOV,True,False,False,False,FT50;AJG2024_4*;ABDC_A*,True,ABDC FoR 3507,needs_review
Sociology,sociology,0038-0385,1469-8684,Sage Publications,A*,3507,4,SOC SCI,False,False,False,False,AJG2024_4;ABDC_A*,True,ABDC FoR 3507,needs_review
Strategic Entrepreneurship Journal,strategic entrepreneurship journal,1932-4391,1932-443X,Wiley-Blackwell Publishing,A,3507,4,ENT-SBM,True,False,False,False,FT50;AJG2024_4;ABDC_A,True,ABDC FoR 3507,needs_review
Strategic Management Journal,strategic management journal,0143-2095,1097-0266,Wiley-Blackwell Publishing,A*,3507,4*,STRAT,True,True,False,False,FT50;UTD24;AJG2024_4*;ABDC_A*,True,ABDC FoR 3507; FT50/UTD management-general journal,include_candidate
The Leadership Quarterly,leadership quarterly,1048-9843,1873-3409,Elsevier,A*,3507,4,ORG STUD,False,False,False,False,AJG2024_4;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; AJG field ORG STUD; title keyword 'leadership',include_candidate
Work and Stress,work and stress,1464-5335,,Taylor & Francis,,,4,PSYCH (WOP-OB),False,False,False,False,AJG2024_4,True,manual core OBHRM title; AJG field PSYCH (WOP-OB); title keyword 'work',include_candidate
"Work, Employment and Society",work employment and society,0950-0170,1469-8722,Sage Publications,A,3505,4,HRM&EMP,False,False,False,False,AJG2024_4;ABDC_A,True,ABDC FoR 3505; AJG field HRM&EMP; title keyword 'employment',include_candidate
